,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
387,1.68,0.8055399999999999,-1.0,0.1935,2.1171710000000004,0.00840680000022985
388,1.68,0.80504,-1.1,0.194,2.1171710000000004,0.00840679999999702
389,1.77,0.80449,-1.0,0.1945,2.1100281,0.008679800000041723
390,1.77,0.80399,-1.05,0.195,2.1100281,0.008679800000041723
391,1.82,0.803465,-1.0,0.1955,2.1100281,0.008702550000045448
392,1.82,0.802965,-1.32,0.196,2.1100281,0.008702549999812619
393,2.14,0.8023049999999999,-1.2,0.1965,2.4200280999999997,0.0131089500002563
394,2.34,0.801705,-1.0,0.197,2.6100280999999996,0.014610949999885634
395,2.34,0.8012050000000001,-1.18,0.1975,2.6100280999999996,0.014610949999652803
396,2.51,0.800615,-1.04,0.198,2.7066947999999997,0.014848549999995157
397,2.55,0.800095,-1.0,0.1985,2.7366947999999995,0.014816949999891221
398,2.55,0.7995950000000001,-1.0,0.199,2.7366947999999995,0.014816949999891221
399,2.55,0.799095,-1.34,0.1995,2.7366947999999995,0.014816949999891221
400,2.89,0.7984249999999999,-1.07,0.2,3.0566948,0.017333749999990686
401,2.93,0.79789,-1.09,0.2005,3.1046948000000003,0.017565799999982118
402,2.93,0.7973450000000001,-1.16,0.201,3.0866951,0.018456949999788776
403,3.0,0.796765,-1.03,0.2015,3.0819583,0.019464550000149756
404,3.03,0.79625,-1.16,0.202,3.0819583,0.019405000000027938
405,3.1,0.79567,-1.26,0.2025,3.1078203,0.02128220000024885
406,3.28,0.79504,-1.0,0.203,3.2116726,0.02369680000003427
407,3.28,0.7945399999999999,-1.08,0.2035,3.2116726,0.023696800000267103
408,3.33,0.794,-1.02,0.204,3.2472282000000003,0.023729999999981374
409,3.33,0.79349,-1.11,0.2045,3.2386568,0.02376979999989271
410,3.37,0.792935,-1.25,0.205,3.2813235000000005,0.02424655000003986
411,3.52,0.79231,-1.08,0.2055,3.4453790999999994,0.02664780000015162
412,3.6,0.79177,-1.24,0.206,3.4453790999999994,0.02661420000018552
413,3.79,0.79115,-1.12,0.2065,3.5978635000000003,0.028234999999869614
414,3.84,0.79059,-1.35,0.207,3.6235778,0.028193800000008196
415,4.09,0.7899149999999999,-1.0,0.2075,3.7777238,0.035810550000285726
416,4.09,0.789415,-1.12,0.208,3.7777238,0.0358105500000529
417,4.15,0.788855,-1.21,0.2085,3.8891524000000004,0.03602294999989681
418,4.28,0.78825,-1.08,0.209,4.0226069,0.03599500000011176
419,4.28,0.78771,-1.02,0.2095,4.004326900000001,0.037951799999922514
420,4.3,0.7872,-1.18,0.21,4.004326900000001,0.037859999999869616
421,4.45,0.78661,-1.04,0.2105,4.1255769,0.03819579999987036
422,4.45,0.7860900000000001,-1.6,0.211,4.1822436000000005,0.03836379999993369
423,4.9,0.7852899999999999,-1.35,0.2115,4.422473900000001,0.04196180000016466
