,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
371,0.0,0.9768125,-1.0,0.0231875,1.0,0.0
372,0.0,0.97675,-1.0,0.02325,1.0,0.0
373,0.0,0.9766875,-1.0,0.0233125,1.0,0.0
374,0.0,0.976625,-1.0,0.023375,1.0,0.0
375,0.0,0.9765625,-1.0,0.0234375,1.0,0.0
376,0.0,0.9765,-1.0,0.0235,1.0,0.0
377,0.0,0.9764375,-1.0,0.0235625,1.0,0.0
378,0.0,0.976375,-1.0,0.023625,1.0,0.0
379,0.0,0.9763125,-1.0,0.0236875,1.0,0.0
380,0.0,0.97625,-1.0,0.02375,1.0,0.0
381,0.0,0.9761875,-1.0,0.0238125,1.0,0.0
382,0.0,0.976125,-1.0,0.023875,1.0,0.0
383,0.0,0.9760625,-1.0,0.0239375,1.0,0.0
384,0.0,0.976,-1.0,0.024,1.0,0.0
385,0.0,0.9759375,-1.0,0.0240625,1.0,0.0
386,0.0,0.975875,-1.0,0.024125,1.0,0.0
387,0.0,0.9758125,-1.0,0.0241875,1.0,0.0
388,0.0,0.97575,-1.0,0.02425,1.0,0.0
389,0.0,0.9756875,-1.0,0.0243125,1.0,0.0
390,0.0,0.975625,-1.0,0.024375,1.0,0.0
391,0.0,0.9755625,-1.0,0.0244375,1.0,0.0
392,0.0,0.9755,-1.0,0.0245,1.0,0.0
393,0.0,0.9754375,-1.0,0.0245625,1.0,0.0
394,0.0,0.975375,-1.0,0.024625,1.0,0.0
395,0.0,0.9753125,-1.0,0.0246875,1.0,0.0
396,0.0,0.97525,-1.0,0.02475,1.0,0.0
397,0.0,0.9751875,-1.0,0.0248125,1.0,0.0
398,0.0,0.975125,-1.0,0.024875,1.0,0.0
399,0.0,0.9750625,-1.0,0.0249375,1.0,0.0
400,0.0,0.975,-1.0,0.025,1.0,0.0
401,0.0,0.9749375,-1.0,0.0250625,1.0,0.0
402,0.0,0.974875,-1.0,0.025125,1.0,0.0
403,0.0,0.9748125,-1.0,0.0251875,1.0,0.0
404,0.0,0.97475,-1.0,0.02525,1.0,0.0
405,0.0,0.9746875,-1.0,0.0253125,1.0,0.0
406,0.0,0.974625,-1.0,0.025375,1.0,0.0
